0.000000	449.145877
0.025000	462.508064
0.050000	502.526125
0.075000	514.831602
0.100000	524.324857
0.125000	559.573810
0.150000	575.708142
0.175000	583.330273
0.200000	621.788641
0.225000	629.520669
0.250000	666.800966
0.275000	707.639319
0.300000	711.770335
0.325000	731.208222
0.350000	762.524299
0.375000	798.604736
0.400000	859.126530
0.425000	931.783636
0.450000	1208.625242
0.475000	1632.463911
0.500000	2326.496818
0.525000	3357.527879
0.550000	4670.626364
0.575000	5923.284182
0.600000	7185.481818
0.625000	8221.497910
0.650000	8992.151115
0.675000	9417.560896
